"istatId","population","lng","lat","ANPR","name","province","region","month","d15","d16","d17","d18","d19","d20","mar19","mar20","officialCovid","istatMarch","ecoBG","bsToday"
"1188","607","7.40284722","45.29054324","1188","Pessinetto","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1189","14169","7.54635756","45.10062332","1189","Pianezza","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1190","3049","7.22767284","44.94266195","1190","Pinasca","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1191","34854","7.33200099","44.88733486","1191","Pinerolo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1192","8481","7.77216514","45.04352010","1192","Pino Torinese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1193","3713","7.61193106","44.93305708",NULL,"Piobesi Torinese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1194","18186","7.46275512","44.99070006","1194","Piossasco","Torino","Piemonte","3","11","22","13","17","10","29","0","0","0","1","0","0"
"1195","3450","7.42589738","44.91946420","1195","Piscina","Torino","Piemonte","3","2","3","4","5","3","10","0","0","0","1","0","0"
"1196","1378","8.00710274","45.44754377","1196","Piverone","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1197","10220","7.84361932","44.92119885","1197","Poirino","Torino","Piemonte","3","11","8","8","16","8","15","0","0","0","1","0","0"
"1198","1068","7.18220303","44.95506624","1198","Pomaretto","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1199","3676","7.59357096","45.42072843","1199","Pont-Canavese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1200","1113","7.26798510","44.88756523","1200","Porte","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1201","724","6.94229337","45.01627560","1201","Pragelato","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1202","272","7.04904363","44.89040764",NULL,"Prali","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1203","1945","7.90066311","44.86135787","1203","Pralormo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1204","242","7.21169848","44.90458825","1204","Pramollo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1205","1289","7.26972140","44.86584045","1205","Prarostino","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1206","781","7.61570863","45.36765655","1206","Prascorsano","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1207","548","7.59609066","45.35364806","1207","Pratiglione","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
